ym,zip_code,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,incident_count
12-11,11697,2,0,0,0,0,0,2,0,5
12-12,10001,27,0,7,0,3,0,17,0,161
12-12,10002,32,0,13,0,6,0,13,0,143
12-12,10003,37,0,20,0,3,0,14,0,127
12-12,10004,2,0,2,0,0,0,0,0,23
12-12,10005,1,0,0,0,1,0,0,0,18
12-12,10006,3,0,1,0,0,0,2,0,8
12-12,10007,4,0,3,0,1,0,0,0,32
12-12,10009,10,0,7,0,1,0,2,0,60
12-12,10010,5,0,3,0,0,0,2,0,61
12-12,10011,18,0,8,0,3,0,7,0,127
12-12,10012,23,0,8,0,2,0,13,0,87
12-12,10013,18,0,9,0,3,0,6,0,152
12-12,10014,7,0,2,0,2,0,3,0,77
12-12,10016,36,0,16,0,3,0,17,0,189
12-12,10017,20,0,12,0,4,0,4,0,127
12-12,10018,19,0,11,0,0,0,8,0,133
12-12,10019,33,1,10,1,6,0,17,0,210
12-12,10020,0,0,0,0,0,0,0,0,12
12-12,10021,9,0,3,0,1,0,5,0,75
12-12,10022,26,0,13,0,3,0,10,0,210
12-12,10023,14,2,7,2,3,0,4,0,88
12-12,10024,13,0,7,0,2,0,4,0,82
12-12,10025,16,0,13,0,1,0,2,0,83
12-12,10026,7,0,0,0,0,0,7,0,29
12-12,10027,24,0,11,0,0,0,13,0,75
12-12,10028,6,0,5,0,0,0,1,0,53
12-12,10029,40,0,12,0,0,0,28,0,104
12-12,10030,10,0,4,0,0,0,6,0,30
12-12,10031,10,0,6,0,0,0,4,0,45
12-12,10032,17,0,9,0,0,0,8,0,76
12-12,10033,11,0,6,0,2,0,3,0,49
12-12,10034,8,0,5,0,0,0,3,0,39
12-12,10035,13,0,1,0,1,0,11,0,79
12-12,10036,29,0,16,0,4,0,9,0,195
12-12,10037,11,0,4,0,1,0,6,0,27
12-12,10038,7,0,6,0,1,0,0,0,35
12-12,10039,3,0,3,0,0,0,0,0,21
12-12,10040,8,0,3,0,0,0,5,0,24
12-12,10065,9,0,5,0,0,0,4,0,112
12-12,10069,0,0,0,0,0,0,0,0,4
12-12,10075,5,0,3,0,0,0,2,0,45
12-12,10111,0,0,0,0,0,0,0,0,1
12-12,10119,0,0,0,0,0,0,0,0,3
12-12,10128,12,0,7,0,1,0,4,0,68
12-12,10280,0,0,0,0,0,0,0,0,2
12-12,10282,0,0,0,0,0,0,0,0,2
12-12,10301,11,0,7,0,0,0,4,0,71
12-12,10302,7,1,6,0,0,0,1,1,39
12-12,10303,14,1,6,0,0,0,8,1,49
12-12,10304,18,0,8,0,0,0,10,0,94
12-12,10305,26,0,4,0,0,0,22,0,75
12-12,10306,25,1,6,0,0,0,19,1,113
12-12,10307,4,0,0,0,0,0,4,0,11
12-12,10308,10,0,2,0,0,0,8,0,34
12-12,10309,6,0,1,0,0,0,5,0,42
12-12,10310,12,0,3,0,0,0,9,0,47
12-12,10312,16,0,5,0,0,0,11,0,73
12-12,10314,55,0,6,0,0,0,49,0,200
12-12,10451,22,0,10,0,0,0,12,0,80
12-12,10452,26,0,14,0,1,0,11,0,74
12-12,10453,32,0,15,0,0,0,17,0,66
12-12,10454,20,1,4,1,3,0,13,0,50
12-12,10455,18,0,4,0,1,0,13,0,48
12-12,10456,26,0,7,0,0,0,19,0,67
12-12,10457,26,0,11,0,1,0,14,0,70
12-12,10458,33,0,7,0,2,0,24,0,103
12-12,10459,32,0,15,0,3,0,14,0,78
12-12,10460,23,0,3,0,1,0,19,0,73
12-12,10461,31,0,8,0,1,0,22,0,100
12-12,10462,23,1,15,1,1,0,7,0,78
12-12,10463,11,0,5,0,0,0,6,0,58
12-12,10464,0,0,0,0,0,0,0,0,6
12-12,10465,7,0,2,0,0,0,5,0,42
12-12,10466,17,0,6,0,0,0,11,0,93
12-12,10467,27,0,9,0,1,0,17,0,115
12-12,10468,32,0,14,0,0,0,18,0,76
12-12,10469,31,0,7,0,0,0,24,0,100
12-12,10470,6,0,1,0,0,0,5,0,34
12-12,10471,5,0,2,0,0,0,3,0,21
12-12,10472,32,0,8,0,0,0,24,0,50
12-12,10473,14,0,3,0,1,0,10,0,38
12-12,10474,7,0,0,0,0,0,7,0,29
12-12,10475,21,0,6,0,0,0,15,0,58
12-12,11001,2,0,0,0,0,0,2,0,4
12-12,11004,9,1,1,1,0,0,8,0,30
12-12,11040,0,0,0,0,0,0,0,0,4
12-12,11101,23,0,4,0,1,0,18,0,161
12-12,11102,13,0,3,0,1,0,9,0,36
12-12,11103,16,0,2,0,1,0,13,0,55
12-12,11104,12,0,10,0,0,0,2,0,41
12-12,11105,10,0,4,0,1,0,5,0,37
12-12,11106,30,0,8,0,1,0,21,0,58
12-12,11109,0,0,0,0,0,0,0,0,2
12-12,11201,32,0,13,0,2,0,17,0,183
12-12,11203,70,2,11,0,5,0,54,2,166
12-12,11204,40,0,15,0,3,0,22,0,95
12-12,11205,8,0,2,0,2,0,4,0,75
12-12,11206,58,0,12,0,5,0,41,0,114
12-12,11207,93,0,19,0,2,0,72,0,209
12-12,11208,41,0,10,0,1,0,30,0,106
12-12,11209,23,0,12,0,2,0,9,0,94
12-12,11210,47,0,14,0,2,0,31,0,115
12-12,11211,32,0,8,0,5,0,19,0,103
12-12,11212,46,0,26,0,2,0,18,0,124
12-12,11213,46,0,19,0,0,0,27,0,111
12-12,11214,24,0,10,0,1,0,13,0,104
12-12,11215,20,0,5,0,2,0,13,0,115
12-12,11216,34,0,13,0,3,0,18,0,100
12-12,11217,22,1,8,1,8,0,6,0,123
12-12,11218,27,0,5,0,4,0,18,0,88
12-12,11219,41,0,17,0,3,0,21,0,119
12-12,11220,33,0,9,0,2,0,22,0,137
12-12,11221,46,0,10,0,1,0,35,0,88
12-12,11222,7,0,1,0,3,0,3,0,81
12-12,11223,50,2,22,2,0,0,28,0,129
12-12,11224,11,0,6,0,0,0,5,0,55
12-12,11225,21,0,8,0,3,0,10,0,86
12-12,11226,65,1,22,1,6,0,37,0,148
12-12,11228,22,0,2,0,0,0,20,0,69
12-12,11229,37,1,20,0,2,0,15,1,104
12-12,11230,36,0,10,0,5,0,21,0,145
12-12,11231,8,0,0,0,3,0,5,0,42
12-12,11232,16,0,3,0,2,0,11,0,78
12-12,11233,45,0,13,0,1,0,31,0,120
12-12,11234,49,1,9,1,0,0,40,0,160
12-12,11235,37,0,16,0,1,0,20,0,120
12-12,11236,61,0,15,0,0,0,46,0,188
12-12,11237,24,0,12,0,1,0,11,0,62
12-12,11238,31,0,10,0,5,0,16,0,95
12-12,11239,3,0,0,0,0,0,3,0,7
12-12,11249,4,0,3,0,1,0,0,0,29
12-12,11354,26,0,13,0,0,0,13,0,107
12-12,11355,28,1,13,1,0,0,15,0,90
12-12,11356,13,0,1,0,0,0,12,0,31
12-12,11357,4,0,0,0,0,0,4,0,30
12-12,11358,19,0,6,0,0,0,13,0,70
12-12,11360,3,0,1,0,0,0,2,0,11
12-12,11361,8,0,4,0,0,0,4,0,55
12-12,11362,6,0,1,0,0,0,5,0,23
12-12,11363,10,0,4,0,0,0,6,0,22
12-12,11364,5,0,2,0,0,0,3,0,32
12-12,11365,8,0,0,0,0,0,8,0,26
12-12,11366,10,0,0,0,0,0,10,0,33
12-12,11367,10,0,5,0,0,0,5,0,42
12-12,11368,38,0,8,0,9,0,21,0,89
12-12,11369,14,0,1,0,0,0,13,0,53
12-12,11370,14,0,5,0,0,0,9,0,41
12-12,11372,27,1,10,1,2,0,15,0,90
12-12,11373,40,0,13,0,3,0,24,0,132
12-12,11374,9,0,8,0,0,0,1,0,57
12-12,11375,16,0,9,0,1,0,6,0,98
12-12,11377,28,0,5,0,2,0,21,0,123
12-12,11378,12,0,5,0,0,0,7,0,86
12-12,11379,14,0,5,0,0,0,9,0,51
12-12,11385,22,0,11,0,3,0,8,0,132
12-12,11411,23,0,3,0,0,0,20,0,46
12-12,11412,15,0,5,0,0,0,10,0,32
12-12,11413,16,0,4,0,0,0,12,0,76
12-12,11414,9,0,0,0,0,0,9,0,40
12-12,11415,2,0,2,0,0,0,0,0,21
12-12,11416,11,0,3,0,0,0,8,0,34
12-12,11417,11,0,4,0,0,0,7,0,50
12-12,11418,11,0,2,0,0,0,9,0,64
12-12,11419,22,0,5,0,1,0,16,0,64
12-12,11420,42,0,3,0,1,0,38,0,87
12-12,11421,7,0,6,0,0,0,1,0,42
12-12,11422,10,1,0,1,1,0,9,0,71
12-12,11423,26,0,6,0,0,0,20,0,53
12-12,11426,9,0,1,0,1,0,7,0,17
12-12,11427,14,1,0,0,0,0,14,1,31
12-12,11428,18,0,2,0,0,0,16,0,35
12-12,11429,19,0,3,0,0,0,16,0,34
12-12,11430,2,0,0,0,0,0,2,0,3
12-12,11432,31,0,11,0,1,0,19,0,103
12-12,11433,18,0,8,0,3,0,7,0,58
12-12,11434,33,0,11,0,0,0,22,0,136
12-12,11435,37,1,9,1,0,0,28,0,75
12-12,11436,3,0,0,0,0,0,3,0,29
12-12,11691,17,0,6,0,1,0,10,0,54
12-12,11692,4,0,2,0,0,0,2,0,12
12-12,11693,2,0,1,0,0,0,1,0,15
12-12,11694,3,0,0,0,0,0,3,0,26
12-12,11697,4,0,0,0,0,0,4,0,4
13-01,10001,25,1,11,1,1,0,13,0,147
13-01,10002,34,0,18,0,5,0,11,0,134
13-01,10003,18,0,5,0,7,0,6,0,127
13-01,10004,2,0,1,0,0,0,1,0,21
13-01,10005,4,0,3,0,0,0,1,0,17
13-01,10006,5,0,1,0,0,0,4,0,15
13-01,10007,9,0,5,0,0,0,4,0,35
13-01,10009,11,0,8,0,3,0,0,0,52
13-01,10010,21,2,8,2,5,0,8,0,76
13-01,10011,15,0,6,0,0,0,9,0,108
13-01,10012,13,0,7,0,1,0,5,0,76
13-01,10013,34,0,16,0,1,0,17,0,130
13-01,10014,10,0,4,0,3,0,3,0,76
13-01,10016,37,0,20,0,5,0,12,0,177
13-01,10017,16,0,8,0,3,0,5,0,103
13-01,10018,12,0,8,0,2,0,2,0,94
13-01,10019,15,0,6,0,1,0,8,0,142
13-01,10020,0,0,0,0,0,0,0,0,4
13-01,10021,13,0,7,0,0,0,6,0,69
13-01,10022,18,0,12,0,4,0,2,0,176
13-01,10023,13,0,4,0,3,0,6,0,86
13-01,10024,5,0,2,0,0,0,3,0,66
13-01,10025,20,0,6,0,2,0,12,0,75
13-01,10026,15,0,6,0,2,0,7,0,28
13-01,10027,17,1,3,1,2,0,12,0,68
13-01,10028,14,0,5,0,1,0,8,0,56
13-01,10029,15,0,6,0,0,0,9,0,88
13-01,10030,7,0,2,0,1,0,4,0,26
13-01,10031,18,0,9,0,2,0,7,0,46
13-01,10032,21,0,6,0,0,0,15,0,65
13-01,10033,18,0,7,0,0,0,11,0,56
13-01,10034,4,0,2,0,0,0,2,0,34
13-01,10035,19,0,6,0,0,0,13,0,82
13-01,10036,15,0,6,0,4,0,5,0,143
13-01,10037,3,0,2,0,1,0,0,0,28
13-01,10038,2,0,1,0,1,0,0,0,23
13-01,10039,4,0,0,0,0,0,4,0,14
13-01,10040,4,0,3,0,0,0,1,0,20
13-01,10065,11,1,6,1,2,0,3,0,117
13-01,10069,2,0,0,0,0,0,2,0,6
13-01,10075,6,0,5,0,1,0,0,0,41
13-01,10111,0,0,0,0,0,0,0,0,1
13-01,10119,0,0,0,0,0,0,0,0,2
13-01,10128,10,0,2,0,1,0,7,0,63
13-01,10280,0,0,0,0,0,0,0,0,3
13-01,10281,0,0,0,0,0,0,0,0,1
13-01,10301,25,0,5,0,0,0,20,0,93
13-01,10302,10,0,3,0,0,0,7,0,35
13-01,10303,3,0,1,0,0,0,2,0,32
13-01,10304,26,0,10,0,0,0,16,0,86
13-01,10305,14,0,3,0,0,0,11,0,73
13-01,10306,20,0,3,0,0,0,17,0,96
13-01,10307,4,0,2,0,0,0,2,0,12
13-01,10308,10,0,1,0,0,0,9,0,45
13-01,10309,4,0,0,0,0,0,4,0,40
13-01,10310,12,0,4,0,0,0,8,0,29
13-01,10312,23,0,4,0,0,0,19,0,83
13-01,10314,29,0,4,0,0,0,25,0,149
13-01,10451,17,0,7,0,0,0,10,0,61
13-01,10452,13,0,8,0,1,0,4,0,56
13-01,10453,23,0,7,0,1,0,15,0,59
13-01,10454,28,0,10,0,0,0,18,0,59
13-01,10455,14,1,8,0,0,0,6,1,45
13-01,10456,6,0,4,0,0,0,2,0,53
13-01,10457,17,0,5,0,0,0,12,0,61
13-01,10458,27,0,5,0,0,0,22,0,84
13-01,10459,18,0,8,0,1,0,9,0,60
13-01,10460,28,1,11,1,1,0,16,0,68
13-01,10461,18,0,4,0,0,0,14,0,76
13-01,10462,16,0,5,0,0,0,11,0,73
13-01,10463,8,0,3,0,1,0,4,0,55
13-01,10464,2,0,0,0,0,0,2,0,1
13-01,10465,7,0,3,0,0,0,4,0,53
13-01,10466,29,1,5,1,0,0,24,0,99
13-01,10467,38,0,10,0,0,0,28,0,147
13-01,10468,33,1,7,1,1,0,25,0,83
13-01,10469,25,0,7,0,0,0,18,0,88
13-01,10470,4,0,2,0,0,0,2,0,35
13-01,10471,2,0,0,0,0,0,2,0,20
13-01,10472,34,0,11,0,2,0,21,0,56
13-01,10473,15,0,5,0,0,0,10,0,33
13-01,10474,6,0,1,0,0,0,5,0,26
13-01,10475,8,0,0,0,0,0,8,0,35
13-01,11001,0,0,0,0,0,0,0,0,7
13-01,11004,17,0,3,0,0,0,14,0,28
13-01,11040,1,1,0,1,0,0,1,0,7
13-01,11101,34,0,3,0,4,0,27,0,177
13-01,11102,6,0,2,0,0,0,4,0,32
13-01,11103,16,0,6,0,4,0,6,0,48
13-01,11104,10,0,6,0,3,0,1,0,33
13-01,11105,10,0,5,0,0,0,5,0,35
13-01,11106,21,0,7,0,3,0,11,0,56
13-01,11109,1,0,0,0,0,0,1,0,2
13-01,11201,16,0,9,0,0,0,7,0,128
13-01,11203,69,1,15,0,3,0,51,1,145
13-01,11204,22,1,6,1,2,0,14,0,109
13-01,11205,10,0,4,0,0,0,6,0,55
13-01,11206,40,0,12,0,6,0,22,0,95
13-01,11207,93,0,21,0,4,0,68,0,208
13-01,11208,28,1,8,0,0,0,20,1,116
13-01,11209,15,0,6,0,0,0,9,0,88
13-01,11210,40,0,14,0,2,0,24,0,95
13-01,11211,27,0,8,0,4,0,15,0,97
13-01,11212,45,2,17,2,1,0,27,0,120
13-01,11213,25,0,7,0,3,0,15,0,107
13-01,11214,18,0,5,0,0,0,13,0,83
13-01,11215,31,0,8,0,6,0,17,0,113
13-01,11216,30,0,7,0,1,0,22,0,104
13-01,11217,25,0,9,0,4,0,12,0,76
13-01,11218,27,0,9,0,2,0,16,0,89
13-01,11219,32,0,13,0,1,0,18,0,114
13-01,11220,35,0,13,0,1,0,21,0,131
13-01,11221,28,0,5,0,3,0,20,0,71
13-01,11222,9,0,3,0,2,0,4,0,81
13-01,11223,33,3,9,0,3,0,21,3,112
13-01,11224,21,0,7,0,1,0,13,0,40
13-01,11225,18,0,9,0,2,0,7,0,87
13-01,11226,51,0,14,0,2,0,35,0,126
13-01,11228,14,0,3,0,2,0,9,0,47
13-01,11229,34,0,16,0,2,0,16,0,103
13-01,11230,37,1,17,1,3,0,17,0,111
13-01,11231,7,0,4,0,0,0,3,0,37
13-01,11232,13,0,3,0,1,0,9,0,61
13-01,11233,38,0,12,0,0,0,26,0,115
13-01,11234,34,0,8,0,1,0,25,0,157
13-01,11235,18,0,9,0,1,0,8,0,111
13-01,11236,58,1,7,1,0,0,51,0,137
13-01,11237,20,1,5,1,4,0,11,0,62
13-01,11238,25,0,6,0,2,0,17,0,80
13-01,11239,1,0,1,0,0,0,0,0,9
13-01,11249,11,0,1,0,4,0,6,0,41
13-01,11354,27,1,12,1,1,0,14,0,117
13-01,11355,21,1,13,1,0,0,8,0,105
13-01,11356,4,0,0,0,0,0,4,0,28
13-01,11357,12,0,4,0,0,0,8,0,44
13-01,11358,9,0,3,0,0,0,6,0,54
13-01,11360,5,0,0,0,0,0,5,0,17
13-01,11361,11,0,4,0,0,0,7,0,64
13-01,11362,2,0,0,0,0,0,2,0,21
13-01,11363,2,0,2,0,0,0,0,0,17
13-01,11364,9,0,5,0,1,0,3,0,39
13-01,11365,7,0,2,0,0,0,5,0,36
13-01,11366,11,0,1,0,0,0,10,0,28
13-01,11367,6,0,1,0,0,0,5,0,47
13-01,11368,29,0,14,0,4,0,11,0,92
13-01,11369,12,0,5,0,1,0,6,0,53
13-01,11370,6,0,1,0,0,0,5,0,33
13-01,11372,26,0,9,0,0,0,17,0,82
13-01,11373,23,0,9,0,1,0,13,0,96
13-01,11374,10,1,4,1,1,0,5,0,57
13-01,11375,19,0,5,0,0,0,14,0,73
13-01,11377,26,0,9,0,1,0,16,0,120
13-01,11378,9,0,3,0,0,0,6,0,54
13-01,11379,6,0,5,0,0,0,1,0,38
13-01,11385,36,1,9,1,1,0,26,0,134
13-01,11411,15,1,2,0,0,0,13,1,37
13-01,11412,19,0,3,0,0,0,16,0,39
13-01,11413,26,0,4,0,0,0,22,0,67
13-01,11414,11,0,2,0,1,0,8,0,33
13-01,11415,9,0,5,0,0,0,4,0,25
13-01,11416,10,0,1,0,0,0,9,0,28
13-01,11417,31,0,3,0,1,0,27,0,64
13-01,11418,17,0,5,0,0,0,12,0,52
13-01,11419,28,0,12,0,1,0,15,0,67
13-01,11420,21,0,6,0,1,0,14,0,74
13-01,11421,14,0,5,0,2,0,7,0,50
13-01,11422,18,0,1,0,0,0,17,0,63
13-01,11423,10,0,4,0,0,0,6,0,42
13-01,11426,8,1,0,1,0,0,8,0,34
13-01,11427,4,0,2,0,0,0,2,0,21
13-01,11428,11,0,3,0,1,0,7,0,29
13-01,11429,13,0,3,0,0,0,10,0,24
13-01,11430,0,0,0,0,0,0,0,0,2
13-01,11432,24,0,13,0,1,0,10,0,88
13-01,11433,12,0,6,0,2,0,4,0,44
13-01,11434,24,0,3,0,0,0,21,0,88
13-01,11435,17,0,7,0,0,0,10,0,58
13-01,11436,8,0,1,0,0,0,7,0,22
13-01,11691,6,0,4,0,0,0,2,0,52
13-01,11692,7,0,0,0,0,0,7,0,13
13-01,11693,8,0,0,0,1,0,7,0,31
13-01,11694,2,0,0,0,0,0,2,0,16
13-01,11695,0,0,0,0,0,0,0,0,1
13-01,11697,0,0,0,0,0,0,0,0,2
13-02,10000,0,1,0,0,0,0,0,1,1
13-02,10001,31,0,18,0,4,0,9,0,160
13-02,10002,27,0,13,0,2,0,12,0,105
13-02,10003,12,0,4,0,3,0,5,0,95
13-02,10004,3,0,2,0,0,0,1,0,23
13-02,10005,3,0,3,0,0,0,0,0,16
13-02,10006,1,0,0,0,0,0,1,0,12
13-02,10007,12,0,8,0,1,0,3,0,39
13-02,10009,14,0,10,0,3,0,1,0,55
13-02,10010,25,0,14,0,4,0,7,0,85
13-02,10011,17,0,9,0,1,0,7,0,107
13-02,10012,11,0,10,0,0,0,1,0,84
13-02,10013,20,0,9,0,0,0,11,0,137
13-02,10014,8,0,6,0,0,0,2,0,56
13-02,10016,24,1,11,1,4,0,9,0,147
13-02,10017,12,0,6,0,1,0,5,0,97
13-02,10018,14,0,7,0,0,0,7,0,91
13-02,10019,18,0,11,0,1,0,6,0,148
13-02,10020,0,0,0,0,0,0,0,0,10
13-02,10021,10,0,1,0,7,0,2,0,62
13-02,10022,29,0,15,0,2,0,12,0,159
13-02,10023,18,0,10,0,2,0,6,0,80
13-02,10024,8,0,2,0,2,0,4,0,54
13-02,10025,23,0,8,0,2,0,13,0,92
13-02,10026,11,0,4,0,0,0,7,0,31
13-02,10027,12,0,4,0,1,0,7,0,81
13-02,10028,7,0,5,0,1,0,1,0,41
13-02,10029,13,0,8,0,0,0,5,0,91
13-02,10030,15,0,1,0,0,0,14,0,33
13-02,10031,27,1,10,0,3,0,14,1,52
13-02,10032,14,0,4,0,0,0,10,0,49
13-02,10033,8,0,6,0,0,0,2,0,40
13-02,10034,8,0,3,0,0,0,5,0,41
13-02,10035,25,1,4,1,1,0,20,0,89
13-02,10036,13,1,8,1,0,0,5,0,116
13-02,10037,14,0,1,0,0,0,13,0,22
13-02,10038,3,0,2,0,1,0,0,0,21
13-02,10039,4,0,3,0,0,0,1,0,21
13-02,10040,4,0,3,0,0,0,1,0,28
13-02,10065,7,0,5,0,0,0,2,0,74
13-02,10069,0,0,0,0,0,0,0,0,4
13-02,10075,2,0,1,0,0,0,1,0,39
13-02,10119,0,0,0,0,0,0,0,0,1
13-02,10128,5,0,3,0,0,0,2,0,62
13-02,10280,0,0,0,0,0,0,0,0,2
13-02,10281,0,0,0,0,0,0,0,0,2
13-02,10282,0,0,0,0,0,0,0,0,1
13-02,10301,16,0,4,0,0,0,12,0,68
13-02,10302,14,0,2,0,0,0,12,0,39
13-02,10303,5,0,2,0,0,0,3,0,42
13-02,10304,10,0,2,0,0,0,8,0,70
13-02,10305,19,0,3,0,0,0,16,0,56
13-02,10306,28,1,3,1,0,0,25,0,104
13-02,10307,5,0,2,0,0,0,3,0,11
13-02,10308,10,0,0,0,0,0,10,0,36
13-02,10309,9,0,1,0,0,0,8,0,34
13-02,10310,4,0,2,0,0,0,2,0,38
13-02,10312,14,0,1,0,0,0,13,0,66
13-02,10314,23,0,4,0,0,0,19,0,153
13-02,10451,27,0,4,0,0,0,23,0,85
13-02,10452,17,0,6,0,1,0,10,0,66
13-02,10453,30,0,5,0,0,0,25,0,62
13-02,10454,22,0,7,0,0,0,15,0,60
13-02,10455,15,0,7,0,0,0,8,0,49
13-02,10456,24,0,8,0,0,0,16,0,57
13-02,10457,14,0,6,0,0,0,8,0,63
13-02,10458,26,1,10,1,2,0,14,0,94
13-02,10459,23,0,8,0,1,0,14,0,55
13-02,10460,18,0,8,0,0,0,10,0,66
13-02,10461,26,0,11,0,0,0,15,0,76
13-02,10462,14,0,3,0,2,0,9,0,71
13-02,10463,12,0,6,0,0,0,6,0,73
13-02,10464,11,0,0,0,1,0,10,0,12
13-02,10465,21,0,2,0,0,0,19,0,44
13-02,10466,33,0,7,0,0,0,26,0,102
13-02,10467,42,0,9,0,0,0,33,0,127
13-02,10468,19,0,10,0,0,0,9,0,82
13-02,10469,26,0,6,0,0,0,20,0,90
13-02,10470,11,0,2,0,0,0,9,0,36
13-02,10471,1,0,1,0,0,0,0,0,21
13-02,10472,16,0,6,0,1,0,9,0,52
13-02,10473,8,0,3,0,0,0,5,0,48
13-02,10474,6,0,1,0,0,0,5,0,17
13-02,10475,6,0,1,0,0,0,5,0,33
13-02,10803,0,0,0,0,0,0,0,0,1
13-02,11001,0,0,0,0,0,0,0,0,3
13-02,11004,8,0,0,0,0,0,8,0,21
13-02,11040,0,0,0,0,0,0,0,0,4
13-02,11101,29,1,6,1,1,0,22,0,156
13-02,11102,7,0,4,0,2,0,1,0,29
13-02,11103,19,1,6,1,6,0,7,0,55
13-02,11104,9,0,5,0,0,0,4,0,27
13-02,11105,5,0,2,0,1,0,2,0,36
13-02,11106,15,0,6,0,1,0,8,0,58
13-02,11201,17,1,10,1,1,0,6,0,129
13-02,11203,50,0,11,0,1,0,38,0,127
13-02,11204,22,0,6,0,1,0,15,0,93
