hour,ym,count
22,03/01/2016,421
22,03/01/2017,337
22,03/01/2018,345
22,04/01/2013,371
22,04/01/2014,393
22,04/01/2015,397
22,04/01/2016,471
22,04/01/2017,362
22,04/01/2018,20
22,05/01/2013,425
22,05/01/2014,479
22,05/01/2015,472
22,05/01/2016,459
22,05/01/2017,450
22,06/01/2013,439
22,06/01/2014,418
22,06/01/2015,508
22,06/01/2016,418
22,06/01/2017,438
22,07/01/2012,499
22,07/01/2013,459
22,07/01/2014,504
22,07/01/2015,502
22,07/01/2016,496
22,07/01/2017,397
22,08/01/2012,473
22,08/01/2013,444
22,08/01/2014,477
22,08/01/2015,488
22,08/01/2016,413
22,08/01/2017,377
22,09/01/2012,407
22,09/01/2013,387
22,09/01/2014,416
22,09/01/2015,475
22,09/01/2016,353
22,09/01/2017,376
22,10/01/2012,397
22,10/01/2013,385
22,10/01/2014,423
22,10/01/2015,487
22,10/01/2016,376
22,10/01/2017,357
22,11/01/2012,383
22,11/01/2013,388
22,11/01/2014,417
22,11/01/2015,435
22,11/01/2016,362
22,11/01/2017,377
22,12/01/2012,432
22,12/01/2013,397
22,12/01/2014,434
22,12/01/2015,533
22,12/01/2016,392
22,12/01/2017,368
23,01/01/2013,283
23,01/01/2014,266
23,01/01/2015,251
23,01/01/2016,342
23,01/01/2017,249
23,01/01/2018,263
23,02/01/2013,280
23,02/01/2014,268
23,02/01/2015,249
23,02/01/2016,313
23,02/01/2017,220
23,02/01/2018,251
23,03/01/2013,348
23,03/01/2014,291
23,03/01/2015,279
23,03/01/2016,334
23,03/01/2017,284
23,03/01/2018,278
23,04/01/2013,309
23,04/01/2014,307
23,04/01/2015,294
23,04/01/2016,387
23,04/01/2017,264
23,04/01/2018,13
23,05/01/2013,353
23,05/01/2014,364
23,05/01/2015,382
23,05/01/2016,341
23,05/01/2017,369
23,06/01/2013,343
23,06/01/2014,368
23,06/01/2015,385
23,06/01/2016,315
23,06/01/2017,339
23,07/01/2012,373
23,07/01/2013,412
23,07/01/2014,413
23,07/01/2015,406
23,07/01/2016,344
23,07/01/2017,352
23,08/01/2012,379
23,08/01/2013,368
23,08/01/2014,378
23,08/01/2015,409
23,08/01/2016,341
23,08/01/2017,290
23,09/01/2012,331
23,09/01/2013,333
23,09/01/2014,328
23,09/01/2015,381
23,09/01/2016,303
23,09/01/2017,278
23,10/01/2012,349
23,10/01/2013,305
23,10/01/2014,350
23,10/01/2015,345
23,10/01/2016,279
23,10/01/2017,252
23,11/01/2012,299
23,11/01/2013,294
23,11/01/2014,296
23,11/01/2015,327
23,11/01/2016,264
23,11/01/2017,244
23,12/01/2012,416
23,12/01/2013,332
23,12/01/2014,356
23,12/01/2015,384
23,12/01/2016,287
23,12/01/2017,296
3,01/01/2013,123
3,01/01/2014,136
3,01/01/2015,132
3,01/01/2016,181
3,01/01/2017,114
3,01/01/2018,113
3,02/01/2013,123
3,02/01/2014,110
3,02/01/2015,95
3,02/01/2016,113
3,02/01/2017,98
3,02/01/2018,102
3,03/01/2013,104
3,03/01/2014,107
3,03/01/2015,113
3,03/01/2016,130
3,03/01/2017,138
3,03/01/2018,108
3,04/01/2013,108
3,04/01/2014,120
3,04/01/2015,112
3,04/01/2016,143
3,04/01/2017,117
3,04/01/2018,10
3,05/01/2013,137
3,05/01/2014,140
3,05/01/2015,168
3,05/01/2016,139
3,05/01/2017,115
3,06/01/2013,152
3,06/01/2014,129
3,06/01/2015,101
3,06/01/2016,118
3,06/01/2017,120
3,07/01/2012,171
3,07/01/2013,140
3,07/01/2014,99
3,07/01/2015,149
3,07/01/2016,153
3,07/01/2017,135
3,08/01/2012,150
3,08/01/2013,121
3,08/01/2014,135
3,08/01/2015,152
3,08/01/2016,106
3,08/01/2017,126
3,09/01/2012,139
3,09/01/2013,143
3,09/01/2014,130
3,09/01/2015,120
3,09/01/2016,122
3,09/01/2017,113
3,10/01/2012,123
3,10/01/2013,118
3,10/01/2014,117
3,10/01/2015,127
3,10/01/2016,137
3,10/01/2017,113
3,11/01/2012,107
3,11/01/2013,137
3,11/01/2014,174
3,11/01/2015,121
3,11/01/2016,142
3,11/01/2017,97
3,12/01/2012,172
3,12/01/2013,139
3,12/01/2014,151
3,12/01/2015,154
3,12/01/2016,137
3,12/01/2017,128
4,01/01/2013,137
4,01/01/2014,151
4,01/01/2015,146
4,01/01/2016,185
